,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Vela De Ignição Jac J2/j3/j5/t5 (iridium),R$240,Novo,0,EKLASS,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=NnY0sRNikGiyPrNLgDPRR83B%2FAySu%2FNlsK1q3j14Bz0h8bd7f%2F8%2By7YmoVqtYF3mRdDCJPOizoeiwyRY8zyQpHPVogcnVXODwhmy47HOubqgp%2BT5PYFo9yEVWU3mJAkO5Yo%2BddZTvp9xcbh6uYeZA0%2BqJ05CTy1Mf8OJYNl%2Fu%2B%2FZnz22tLxIiIiUFv2aWpFAmRMHl4nZAj3tYRLIP8h40pNp%2FAdI2f87cM5psK9fKzOmwXui2YBaIOGPpjv4kGtkz4W8fr8viTnmT0j5UFf5g7sJTBDcy%2BIYOL5j51NM7UuHvyhvMCthfzosHV2HR2iqRzV0560t2jqjVUs879XjEWwfobg%2FmN1YCwzL33yLXwaXuCJHbwJP1zjPjOsc8qTd0WfsO%2BAaUS6oaih3msloSTeqP8gPbdWmrSu%2BPHwhJLR0tK3dqpz0L6XIfUpKnttyOp6T54NvwGeoGkVJoD9DGfdPZBCqvkAC0ialj%2BW0UEUNOq4b%2BPZ%2F%2FwaKaM290Er3asiLvBoST%2BzRxy3gfjCGqZfcTjJM0guyLb8sGEQhOz7%2FlkyCx5MWZvHV1jeGgO5zQX6whsTRMDlIX0n7HCtub7kpJkYnejgxlk1g6Ud3oEOwjxWaQoYpRLGeR0topy89mCqUwY690zWV%2FWM4AMLKUVdyYVQsV3CRQQXYYDgvaHp6PuYG%2BXkGt3SwGt5Gp7uXkXHuj7703vS0x8frrMdmCg7SoeKPKE8YdUmdNjWdOBbA9G3SLVerMzeaEGrckTRbP%2B0xYOgyKve2uVTaIISGyHK%2FgCaYs7fSGnmKgwVuepsciRqLjicBAVSaYTgYqzsJOZjkRdy40Ds9N4sVIdk1siNgnwHL8Uk2HIsQ08uBZwdodOidtR7dbv0tOGMsNT8hVpaJ7SOCikwjLqer0veiY8p3MkUPlnneTcc%2FQf4O768Qjaf0fEEy2C8k9fouj1FedHwCqT0poB4kyB00ykoSNFzyDtr%2BJMXuzxZszTq24LWB%2BJ6AfFtFOmjmprf0vglWEgQInXWFP9cXciIT8KHUFeVzJH0SR0GQKLTA2Ao0%2FiJatf9KaEzRSFSzuwcz3kRaMUMxU2m%2BwjE1JlBfNx91EI1ym7D1hKZ8gSpLve6%2BTLPQHJwbWuBadWR3FSoPelcVohLi4IdIX5Ld0vXunhw3J5vIEeW216UWY%2F%2BYB%2FaTU9Pdlbl65hoa3QFWapECO9rK4aE6T2tc%2FiVaGWbCfFEFfI%2B5ROQB%2BNFXziDZWbh7fG4Np4ziCPd0JONk%2BVjYn2kdsaiM%2B3FMPYFMN9YYnC4%2FC0e9php1VtnUvtb%2BBgXUyqZ4rERVdip7bHuCsZT81CP%2FOy6E5eJIm7lTdbMAdNM3h5Mdpw5EDRmzsEcJeowUt7H7oFUcDOP0ZduF2LgMLdGk2168YPNrB1JAD8NprctN2XDGV9I1T0dCqZ1Ttj4VJ98QHLGywNKDIzN6MhK5sRt75C2NBETyWcQEdRrGmpjoGy6OtNwVjRWboYO%2F%2BpYrWRWmccmXUDSZr8%2Fr4mJjRNYsAtqMMKtnCG7vtTx0EkW3Fd3SduH3s4mn93Xnn2%2Fv7UfzxSgvmgSE0ckQytagVQLtLy7GUuHeO5ECQQOFIM5cB1lhvZeNQ5b0VfAQUyjUKt3WbrO43yuhiwYliCAPxJo2H4XLBFjRP3WoUyFOoNejhkkTZLvPdlEl4Hp1hQ%2BClflGuWHpS6Wtqr6xrDfh6DtF9vXVykho7tqmNFhKrzL31nqBJHS8espl7Hh99uMP0qMY6dsCknt0yE38jPN8WshvmLlyvAbG6vrhcl8ABx0LQE6HZzOTjz6kjKGefG27I3icdfCEBjxBfs2iTt6mEqjPj1dZ9MpRYoPzZBBHnl98z0qjDjV%2BWy8pbZVCxYq4%2Fm6nBKnK2ueH1ycJZ5hA6kL%2Bkx1m8Gq0BdiV8oI%3D
1,Jogo De Vela Polo Virtus Golf T-cross 1.0 200 Tsi 3 Cilindro,"R$269,90",Novo,31,Volkswagen,Não tem linha,velas,04E905602F,3,https://produto.mercadolivre.com.br/MLB-1464609676-jogo-de-vela-polo-virtus-golf-t-cross-10-200-tsi-3-cilindro-_JM#position=2&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
2,Jogo 4 Velas Ngk Honda Civic 1.8 Lxs Flex 2006 2007 2008 A,R$240,Novo,1,NGK,Laser Iridium,Iridium,IZFR6K-11S,4,https://produto.mercadolivre.com.br/MLB-1727258899-jogo-4-velas-ngk-honda-civic-18-lxs-flex-2006-2007-2008-a-_JM#position=3&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
3,Jogo Velas Ignicao 1.0 3cil 12v Original Mobi 2017 A 2019,"R$239,90",Novo,2,Fiat,Não tem linha,"MOBI Anos: 2019,2018,2017,2016,2015",55267995,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1766002670-jogo-velas-ignicao-10-3cil-12v-original-mobi-2017-a-2019-_JM#position=4&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
4,Jogo Vela Aquecedora L200 Triton 3.2 16v 2009 Cód Me203539,"R$289,99",Novo,4,FRMD,Não tem linha,Não tem modelo,26430 1820A009 1820A006 1820A020,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1528171974-jogo-vela-aquecedora-l200-triton-32-16v-2009-cod-me203539-_JM#position=5&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
5,Jogo Vela Iridium Ngk Tucson 2.0 Gas 2004 Bkr5eix-11,"R$239,33",Novo,1,NGK,Iridium,IRIDIUM,BKR5EIX-11,4,https://produto.mercadolivre.com.br/MLB-1275624215-jogo-vela-iridium-ngk-tucson-20-gas-2004-bkr5eix-11-_JM#position=6&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
6,Jogo Velas De Ignição Ecosport 2.0 16v Q6rtipmm-13 Marelli,R$239,Novo,1,Magneti Marelli,Não tem linha,PLATINUM IR,Q6RTIPMM-13 / 0242236563,4,https://produto.mercadolivre.com.br/MLB-1172601649-jogo-velas-de-ignico-ecosport-20-16v-q6rtipmm-13-marelli-_JM#position=7&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
7,Jogo Vela Aquecedora Master 2.3 16v M9t 12v - 2013.../,"R$239,99",Novo,2,MD,Não tem linha,Não tem modelo,RE2123 110655813R 110655813RSK1 8200561251 8200561251 0250603001 EST-CP75 EST-DG-005 A38-14-0075 CP75 CGP007 26099 T001 BSG65-870-010 DG8037 GP1200 6.27314 DG63164 886081 887082 1616061580 74270 FT82721 J5711032 H5126 CP75 810-13140 11065-00Q0C 39234 KP,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5K7pAaTWIQdQXjjszl2ip7PnIA8AyJngLA%2FnLwukLiKGZiCDiJ%2FOhVLXkauCnvSTfOrxT%2B17IdysrBEmXFrNdzcmGzNDidRc1%2FZIDrHZ3LirgpkqUj9f9BbiSRGV33VV4R6mk9h7LMLZvklj50E1BoLRBaTLVkgKmSz4ZFtOWlz%2FZTkHQHpfK%2Bt3%2BfzZ4WfqtjqkEZwqT5LgvLFIDc%2Bawyp9NpDgDCM%2FhPV6tL3O%2BDb4XhPWOMI%2BNUqPdINuZOTdye0vYHn1NcPU2eXPlgGIyH7E9nGMX4u%2Fgftk9HAV5P8I12JcoM2TrD%2FW98%2F%2FWVWxlLkRxG84GzVbR8E5Tr8qqGQ7OHdp5qmHK%2B8NlvKthtPHRUxxyACHppXiN75AxwJ%2BiR4ixg7PZOXPCy99FepuxyV%2BFUXa2B287hldEM9c9v7pfoxO%2BV%2BttbVfONK0PnbGWjWomIH0g9Sevl97ggE7FbHjLZ2FeRXojOvFfmI4gbbTX%2Fz8ktXaY94xod%2Fp%2B0nMhFVb533bKgfDthi2prjIStdjkl%2BMjiTxiiJcvSzQqv1mLMKWKSIsYq%2FIANabtsldBVZs7SV641PYpSAcf3oCdTe2Y1PSpZg7U8lMsatCFxPVAPJAIAXLMj5XyQwJ9yN6rvPP39DYWZSBlDwkNh9otrhSQAUwE2AKwZz2m3yda4uq52ThodI9pGO3airXxJOtPkpM9s%2Fht8Wr0Dy%2BsPCSKO8UnYRHnLKhm6pi75%2BNe2EZNi8Sk1Y6j0lMWe8dormwkzX6tRhmUTM1ppGGBHidiEaDVnZXPrNiW%2FVbd202vBrziaIf4b9UtYPuJWreKxMSxK%2B1nCvJjwOSP1dz%2BBRR9ZkhjeTnr1%2BTp8Ab0E3AVFHJ%2BV74RtNJXOU8pZfjxiunlcAbTz6%2Bf9xOiIHB%2BBtc6RdR%2B9xNjasDQg84IbsceIjBkVLju%2B4OGNBdicPrXMDr6boHDwHFY5hUGGvtMvfnkdcf2S2%2B5ZQX6lcCZslxLbg1gIu9W5c4wiIma5M%2FsIXgYBKDld5jv6r4VmR6p6P%2BuB4fd7S06QWFoXBJAlQx%2FFGEZ6kFRewPSMGJcVW0BHZ6xyGErj%2FL36R5u7U9FDrBbOkmcfkrqMIER%2BiUusycANP%2FJW9qNf%2BmmCeju6bmjVF%2FCUMO2A2eo4px%2BlRY9%2BBNxsMpsHDAKFKzJc%2FisLz1ga6rMmomx9rA7%2Bh1QKsTxbhdPgZJ0f4Gb6vW%2BZJ1XwMTbQDs16yz3wqaqaRrG4fqYEnXz%2BnjY%2BwNNbW566nfpAcpRCDPyiLk7FYrUtg4HiXIesvUHGWz%2Bx47akNvdowiO18NAFDHiuDTa8Pld8U5F4or9tImlwhcXQWAiCyEGSzUStKEDwvvAeuKOL%2B%2Fs2eEKSMfrdpCeQg53mBsG9qJdydvhHTbmTiizFWy9Vkd6bPZURIASUHTb1T79dyds2aTkKfQuIgnLHq1bHBtOf8b7jghpyttVcbPHygn12qsoFzAYa3USuizPV2x5vTNtMDGZyr9kkhHTh2hZd4UbOARKjBwEyt1X0BbG4%2BUj1KiTGLzNlUz2P65z9CqUQXA8flEUwT63dGOV1SkZrS2UQKFAMa3feHmh4RknYGf%2B5rFnss2jrbHisSlK44QO0kOvmQ4X0B7IBfkr6mh%2FWxYbsSitwFpdFrDljqAsZnMLV42AAYZh9jpzejx4SHnEkSMi%2FeiZynYgt0eimlp3yg%2F9EdrPt%2FmNbpJto1UqOKwkdSUEzl%2FtP7pYjQZIL8mBPolzNELMZZHRM3TRkwUtH6JIlgAILzg2aLve9k6mTW9BKbEVc2rpwd8ICRZdTloIEE4qBeukICVyjAidpYOyS5D%2B5YKP1np3kj6SOOvBAo62XYzTEz%2FVXw5l%2BGJAws3CiU28HFxIbdDvpjsMjSrnior6lPLpOX5U%2BD0ozu6jdLSxS3ggVkJAL4Z2g9kaw%3D%3D
8,Jogo Vela Aquecedora L200 Triton 3.2 16v 2011 Cód Me203539,"R$289,99",Novo,0,FRMD,Não tem linha,Não tem modelo,26430 1820A009 1820A006 1820A020,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=dAmYh4Sj%2BSEwlnXxgbESvnqghQNrkeD9chEkMU6Gh5OdwgsamE8VCs2bSob2f9XkPGMg7MiEenzCZ25gttdg6%2FomEmXaoUk5LfkLHeVS06i3%2B3BrW4NGnMl0I4Pc9I3yvBZPwHIsU0fw3mN08b6wgIoZgg4LZdqbypODH1UIAV0mZGy3THCtWdk279R0xJXQ4jD%2FZrSybzn4M%2F7yJXb1elem%2FO3tCvmo4IV2GSfPmzQFhUVm8ndouekVKGDU04KZDHQ4JDRoprcrk1yWp4g3gKPy7yWKjdumPSfxbdqdnnGcT3Ppc5eMC38VDvbnxrh91NGdsQPlvnw1W5PfYEzEnMvu5OjH%2BpNQe4oCzbcvYus8nF28XfajRH2AUSRQtxvnQYWMcDCTmWtrtWW5rVaUWb%2Ff5roBRAVHAHhOL0%2BchcwLN%2BNbUw%2FIGzkxI6IeBKr8C4ATC96LfptrSwqUAs8OJJ%2FUzhy6xb%2Bs0y6yRggq7xuLVqtrUZvBDr6E7JOETgn0jiX1o7%2BFvBX5%2By2al%2BY%2BCtOB3R15Fyt3KIO3%2Bd7K4uP2NrGSI%2FLQZiOxgPBJoZK6tq9j5AYgSMCyRxSYFo%2FQf1L3lA8lXBD9CJ4X8jUWrUCWH4YtzjmdbZHIfhw40fX0cc4sF7ohii4LVveo5fJthF%2BVdo9tqVXjBqQwMPHosftbSOqHI3tM6%2BiY7toonJfRhIkEkku1EVvV72TIUHyTg0GMwi1d4b0pWyFSWbpcOY29awg575XNNj1xF2kUzZ4rhz7Fl9HHKSXlhdcQeCH0YDOSApw1efpvkmkE1XEruiVd%2F4IBl%2FjwCF%2FrccRpb2iOPpUarlVn3eHItQGzb3kOJjxR3h8G2jgdQ%2BR%2F%2BdaXVquDeoDiix4n%2BO2Vo6FeG5%2F9YS1uiX5iKAlIjDK4qytJxBV4Eep%2FqWCin2154%2Bbj1ENqTXzhuadkD9doimQBuusfowVOPSCSN3WHyVFLB2rjiqzgOsPfGcu6q4AfgUbNJ1ulbqJfVbHd5YZjjOo3KaDYgJXN9tY5tWT%2B4%2FOWUzjgFKhMcqmnEgOrP68rbtXUGohisZ6WwhtviHHOTwfD3voD0CtB2d%2BSw6JF7rFvgwkciKnoGyyMeB2DHmST3F7r2THL7jpXOSv1QzMBR2Fudw99LmEtS4TCMxYAGjP50%2Bh4U0QxMxiiA%2Fyv%2F9Lo414484wCfpWx6W2G6pC%2FbEB4k%2BX8mqBa7Wewbz2l1btgKKga12oErLrHfD3VRQUL0N%2FydODoueDNRqWEQ4YejCQYV8%2Feo4eThX7GRDxFneKx2foi4ZnF%2B97WNL2ITNH73FviJ4Zeu1wZzOfZE8lZy%2B1gbHIZouS%2BtXWLkglWbFJ2e2cPLo%2Fi01hZ5lCQDU9EhAFX1jqhhUC9XMVB5q2FDm0AzdS2atwh0LrH7zgihz9LGuU1%2FAWcDMGFORNN2t1RH46VW5xsay8GXjS7zT44thnaE1CWtpwJONTQ0orBO3m0Rall1B1F3DSlyq7ZrLTtqoQlE35TA3SPHeFK9u50dR97k1sMBJF3XWy0b7T2FeCiazJneDK1rzFd52mYjnncXJgiRKWVJrjy%2FV%2Bh9eerRzawmuN2YUiYBBeVt1VrEEB7nz2R6W8tWsnd49Wczp2adn1oyNc2ifZvMANX9BEia092I7%2B1ww%2F9qLNCKNn3aCgoXhwaDnt72qkkiPeUU33KYBWy7tK5wE%2BSdi7j2pZN0qj08SpjtMeI0Abhdv6XmaDotDI8BotmIevZI5ASGXsMWOxxAYKlrfyOYhV92dj6%2FcBLYyxx58rYibwOYeJ%2FcrFiFocDRghBSA1u5msW%2BmssJ%2BL5HSZztzU9HPHuJf1zTqhXjETJRc7Bjbsm1MWnyT7LsZ1TVQ8avDasqN0HNSdy5uPBMblMjJAa9pu8ZewCeZG6aefI6%2FZ%2FrAmM4pRYHu%2B3wMil0iOD1eMbj9s4sH76BWqn49HFuw%3D%3D
9,Jogo De Vela Polo Virtus Golf T-cross 1.0 200 Tsi 3 Cilindro,R$240,Novo,8,Volkswagen,Não tem linha,velas,04E905602F,3,https://produto.mercadolivre.com.br/MLB-1777833572-jogo-de-vela-polo-virtus-golf-t-cross-10-200-tsi-3-cilindro-_JM#position=10&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
