,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1916392010-vela-ignico-brasilia-1300-1600-fusca-kombi-gol-alcool-_JM#position=29&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1927421461-vela-ignico-fusca-brasilia-gol-kombi-variant-saveiro-_JM#position=30&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1927498906-vela-ignico-chevette-chevy-marajo-10-14-16-gasolina-_JM#position=31&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1929780312-vela-ignico-chevette-chevy-marajo-10-14-16-alcool-_JM#position=32&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-906710616-jogo-vela-ignico-volswagen-jetta-variant-cod-zfr6t11g-_JM#position=37&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-876087722-jogo-de-velas-kia-cerato-16-16v-gasolina-20062009-bosch-_JM#position=38&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1903727974-vela-de-ignico-4-pecas-s601-para-vios-suzuki-mazda-honda-_JM#position=39&search_layout=stack&type=item&tracking_id=b796855d-78f6-417d-8895-4b3abc9fff97
7,Vela Ignicao 5581141 Parati 2000 2001 2002,"R$147,15",Novo,0,Volkswagen,Não tem linha,Não tem modelo,LC5581141,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1730236242-vela-ignicao-5581141-parati-2000-2001-2002-_JM#position=38&search_layout=stack&type=item&tracking_id=2d1ef3ef-4bb1-459a-bc9f-f12452855066
8,Vela Ignicao 5581141 Passat 1983 1984 1985,"R$147,15",Novo,0,Volkswagen,Não tem linha,Não tem modelo,LC5581141,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1730238952-vela-ignicao-5581141-passat-1983-1984-1985-_JM#position=5&search_layout=stack&type=item&tracking_id=dd3adddd-f2e0-4107-9c5e-744f546b9af2
9,Jogo De Vela New Beetle 2.0 8v Gasolina Desde 1999 Bkur6et10,R$148,Novo,0,NGK,Não tem linha,2397,BKUR6ET-10,4,https://produto.mercadolivre.com.br/MLB-1554385583-jogo-de-vela-new-beetle-20-8v-gasolina-desde-1999-bkur6et10-_JM#position=17&search_layout=stack&type=item&tracking_id=dd3adddd-f2e0-4107-9c5e-744f546b9af2
