,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090131-velas-ignico-chevrolet-meriva-14-8v-99-105cv-flex-2012-_JM#position=14&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090137-velas-ignico-lada-samara-13-8v-65cv-gasolina-1986-_JM#position=15&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090139-velas-ignico-chevrolet-zafira-20-8v-133-140cv-flex-2011-_JM#position=16&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090141-velas-ignico-lada-samara-13-8v-65cv-gasolina-2009-_JM#position=17&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090154-velas-de-ignico-vw-polo-classic-16-8v-90cv-gasolina-1997-_JM#position=18&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090159-velas-ignico-volvo-940-23-8v-154-165cv-gasolina-1996-_JM#position=19&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090177-velas-ignico-lada-samara-15-16v-75cv-gasolina-1997-_JM#position=20&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090179-velas-ignico-chevrolet-onix-14-8v-98-106cv-flex-2014-_JM#position=21&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090180-velas-ignico-chevrolet-montana-14-8v-94-99cv-flex-2019-_JM#position=22&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
9,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1899090184-velas-ignico-lada-samara-15-16v-75cv-gasolina-1994-_JM#position=23&search_layout=stack&type=item&tracking_id=7cae1e9f-91fd-4fde-b03a-8c27394c1060
