Unnamed: 0,preco,marca,status
963,4,Original,OK
1098,139,Original,FAZER
1099,140,Original,FAZER
1100,141,Original,FAZER
1101,142,Original,FAZER
1102,143,Original,FAZER
1103,144,Original,FAZER
1104,145,Original,FAZER
1105,146,Original,FAZER
1106,147,Original,FAZER
1107,148,Original,FAZER
1108,149,Original,FAZER
1109,150,Original,FAZER
1110,151,Original,FAZER
1111,152,Original,FAZER
1112,153,Original,FAZER
1113,154,Original,FAZER
1114,155,Original,FAZER
1115,156,Original,FAZER
1116,157,Original,FAZER
1117,158,Original,FAZER
1118,159,Original,FAZER
1119,160,Original,FAZER
1120,161,Original,FAZER
1121,162,Original,FAZER
1122,163,Original,FAZER
1123,164,Original,FAZER
1124,165,Original,FAZER
1125,166,Original,FAZER
1126,167,Original,FAZER
1127,168,Original,FAZER
1128,169,Original,FAZER
1129,170,Original,FAZER
1130,171,Original,FAZER
1131,172,Original,FAZER
1132,173,Original,FAZER
1133,174,Original,FAZER
1134,175,Original,FAZER
1135,176,Original,FAZER
1136,177,Original,FAZER
1137,178,Original,FAZER
1138,179,Original,FAZER
1139,180,Original,FAZER
1140,181,Original,FAZER
1141,182,Original,FAZER
1142,183,Original,FAZER
1143,184,Original,FAZER
1144,185,Original,FAZER
1145,186,Original,FAZER
1146,187,Original,FAZER
1147,188,Original,FAZER
1148,189,Original,FAZER
1149,190,Original,FAZER
1150,191,Original,FAZER
1151,192,Original,FAZER
1152,193,Original,FAZER
1153,194,Original,FAZER
1154,195,Original,FAZER
1155,196,Original,FAZER
1156,197,Original,FAZER
1157,198,Original,FAZER
1158,199,Original,FAZER
1159,200,Original,FAZER
1160,201,Original,FAZER
1161,202,Original,FAZER
1162,203,Original,FAZER
1163,204,Original,FAZER
1164,205,Original,FAZER
1165,206,Original,FAZER
1166,207,Original,FAZER
1167,208,Original,FAZER
1168,209,Original,FAZER
1169,210,Original,FAZER
1170,211,Original,FAZER
1171,212,Original,FAZER
1172,213,Original,FAZER
1173,214,Original,FAZER
1174,215,Original,FAZER
1175,216,Original,FAZER
1176,217,Original,FAZER
1177,218,Original,FAZER
1178,219,Original,FAZER
1179,220,Original,FAZER
1180,221,Original,FAZER
1181,222,Original,FAZER
1182,223,Original,FAZER
1183,224,Original,FAZER
1184,225,Original,FAZER
1185,226,Original,FAZER
1186,227,Original,FAZER
1187,228,Original,FAZER
1188,229,Original,FAZER
1189,230,Original,FAZER
1190,231,Original,FAZER
1191,232,Original,FAZER
1192,233,Original,FAZER
1193,234,Original,FAZER
1194,235,Original,FAZER
1195,236,Original,FAZER
1196,237,Original,FAZER
1197,238,Original,FAZER
1198,239,Original,FAZER
1199,240,Original,FAZER
1200,241,Original,FAZER
1201,242,Original,FAZER
1202,243,Original,FAZER
1203,244,Original,FAZER
1204,245,Original,FAZER
1205,246,Original,FAZER
1206,247,Original,FAZER
1207,248,Original,FAZER
1208,249,Original,FAZER
1209,250,Original,FAZER
1210,251,Original,FAZER
1211,252,Original,FAZER
1212,253,Original,FAZER
1213,254,Original,FAZER
1214,255,Original,FAZER
1215,256,Original,FAZER
1216,257,Original,FAZER
1217,258,Original,FAZER
1218,259,Original,FAZER
1219,260,Original,FAZER
1220,261,Original,FAZER
1221,262,Original,FAZER
1222,263,Original,FAZER
1223,264,Original,FAZER
1224,265,Original,FAZER
1225,266,Original,FAZER
1226,267,Original,FAZER
1227,268,Original,FAZER
1228,269,Original,FAZER
1229,270,Original,FAZER
1230,271,Original,FAZER
1231,272,Original,FAZER
1232,273,Original,FAZER
1233,274,Original,FAZER
1234,275,Original,FAZER
1235,276,Original,FAZER
1236,277,Original,FAZER
1237,278,Original,FAZER
1238,279,Original,FAZER
1239,280,Original,FAZER
1240,281,Original,FAZER
1241,282,Original,FAZER
1242,283,Original,FAZER
1243,284,Original,FAZER
1244,285,Original,FAZER
1245,286,Original,FAZER
1246,287,Original,FAZER
1247,288,Original,FAZER
1248,289,Original,FAZER
1249,290,Original,FAZER
1250,291,Original,FAZER
1251,292,Original,FAZER
1252,293,Original,FAZER
1253,294,Original,FAZER
1254,295,Original,FAZER
1255,296,Original,FAZER
1256,297,Original,FAZER
1257,298,Original,FAZER
1258,299,Original,FAZER
1259,300,Original,FAZER
1260,301,Original,FAZER
1261,302,Original,FAZER
1262,303,Original,FAZER
1263,304,Original,FAZER
1264,305,Original,FAZER
1265,306,Original,FAZER
1266,307,Original,FAZER
1267,308,Original,FAZER
1268,309,Original,FAZER
1269,310,Original,FAZER
1270,311,Original,FAZER
1271,312,Original,FAZER
1272,313,Original,FAZER
1273,314,Original,FAZER
1274,315,Original,FAZER
1275,316,Original,FAZER
1276,317,Original,FAZER
1277,318,Original,FAZER
1278,319,Original,FAZER
1279,320,Original,FAZER
1280,321,Original,FAZER
1281,322,Original,FAZER
1282,323,Original,FAZER
1283,324,Original,FAZER
1284,325,Original,FAZER
1285,326,Original,FAZER
1286,327,Original,FAZER
1287,328,Original,FAZER
1288,329,Original,FAZER
1289,330,Original,FAZER
1290,331,Original,FAZER
1291,332,Original,FAZER
1292,333,Original,FAZER
1293,334,Original,FAZER
1294,335,Original,FAZER
1295,336,Original,FAZER
1296,337,Original,FAZER
1297,338,Original,FAZER
1298,339,Original,FAZER
1299,340,Original,FAZER
1300,341,Original,FAZER
1301,342,Original,FAZER
1302,343,Original,FAZER
1303,344,Original,FAZER
1304,345,Original,FAZER
1305,346,Original,FAZER
1306,347,Original,FAZER
1307,348,Original,FAZER
1308,349,Original,FAZER
1309,350,Original,FAZER
1310,351,Original,FAZER
1311,352,Original,FAZER
1312,353,Original,FAZER
1313,354,Original,FAZER
1314,355,Original,FAZER
1315,356,Original,FAZER
1316,357,Original,FAZER
1317,358,Original,FAZER
1318,359,Original,FAZER
1319,360,Original,FAZER
1320,361,Original,FAZER
1321,362,Original,FAZER
1322,363,Original,FAZER
1323,364,Original,FAZER
1324,365,Original,FAZER
1325,366,Original,FAZER
1326,367,Original,FAZER
1327,368,Original,FAZER
1328,369,Original,FAZER
1329,370,Original,FAZER
1330,371,Original,FAZER
1331,372,Original,FAZER
1332,373,Original,FAZER
1333,374,Original,FAZER
1334,375,Original,FAZER
1335,376,Original,FAZER
1336,377,Original,FAZER
1337,378,Original,FAZER
1338,379,Original,FAZER
1339,380,Original,FAZER
1340,381,Original,FAZER
1341,382,Original,FAZER
1342,383,Original,FAZER
1343,384,Original,FAZER
1344,385,Original,FAZER
1345,386,Original,FAZER
1346,387,Original,FAZER
