,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
0,MLB2001223709,https://produto.mercadolivre.com.br/MLB-2001223709-sonda-lambda-audi-a3-0258003846847-_JM#position=7&search_layout=stack&type=item&tracking_id=6e57ef7d-d39d-40ee-98a1-e500e4381d20,Sonda Lambda Audi A3 - 0258003846/847,R$169,Sonda Lambda Audi A3 - 0258003846/847,0,Genérica,,,FAZER
1,MLB2001229241,https://produto.mercadolivre.com.br/MLB-2001229241-sonda-lambda-audi-06a906265h-_JM#position=10&search_layout=stack&type=item&tracking_id=ab9aad9e-8324-4e3e-80a0-176a471fedfc,Sonda Lambda Audi - 06a906265h,R$189,Sonda Lambda Audi - 06a906265h,0,Genérica,,,FAZER
2,MLB2001221731,https://produto.mercadolivre.com.br/MLB-2001221731-sonda-lambda-audi-a4-0258003524-_JM#position=15&search_layout=stack&type=item&tracking_id=abc1f2e7-810d-4406-84ea-3587e67c2057,Sonda Lambda Audi A4 - 0258003524,R$239,Sonda Lambda Audi A4 - 0258003524,0,Genérica,,,FAZER
3,MLB1683939244,https://produto.mercadolivre.com.br/MLB-1683939249-sonda-lambda-audi-a4-passat-turbo-0258007090-_JM#position=5&search_layout=stack&type=item&tracking_id=d7527838-f67f-4c33-9b86-364895208ffa,Sonda Lambda Audi A4 Passat Turbo 0258007090 Importada,R$255,Ver os meios de pagamento,0,Paralela,,,FAZER
4,MLB2001226545,https://produto.mercadolivre.com.br/MLB-2001226545-sonda-lambda-audi-0258003518-519-058906265a-_JM#position=20&search_layout=stack&type=item&tracking_id=fe06fc2b-c762-47f8-9251-30995d0df1b0,Sonda Lambda Audi 0258003518/ 519/ 058906265a,R$279,Sonda Lambda Audi 0258003518/ 519/ 058906265a,0,Genérica,,,FAZER
5,MLB1080828664,https://produto.mercadolivre.com.br/MLB-1080828664-sonda-3-fios-audi-_JM#position=1&search_layout=stack&type=item&tracking_id=ac366457-429c-4879-b302-21c37cf5bfef,Sonda 3 Fios Audi,"R$346,93",Sonda 3 Fios Audi,0,Não tem,,,FAZER
6,MLB1874747261,https://produto.mercadolivre.com.br/MLB-1874747261-sonda-lambda-bmw-320i120i118ix1-0611-aspirada-0258017131-_JM#position=44&search_layout=stack&type=item&tracking_id=ab9c9e49-cbaa-4da1-a233-e2cc96301fb1,Sonda Lambda Bmw 320i/120i/118i/x1 06/11 Aspirada 0258017131,"R$249,99",Ver os meios de pagamento,0,0258017131,,,FAZER
7,MLB2001221780,https://produto.mercadolivre.com.br/MLB-2001221780-sonda-lambda-bmw-0258005109-_JM#position=8&search_layout=stack&type=item&tracking_id=9e74a633-0add-44ad-b4de-f45837116e92,Sonda Lambda Bmw - 0258005109,R$389,Sonda Lambda Bmw - 0258005109,0,Genérica,,,FAZER
8,MLB709222610,https://produto.mercadolivre.com.br/MLB-709222610-sonda-lmina-do-uno-2013-_JM#position=14&search_layout=stack&type=item&tracking_id=f9e00043-3285-4d76-8a6d-4159372ddcb5,Sonda Lâmina Do Uno 2013,R$120,Sonda Lâmina Do Uno 2013,0,Bosch,,,FAZER
9,MLB801196264,https://produto.mercadolivre.com.br/MLB-801196264-sonda-lambda-nissan-new-march-2016-original-_JM#position=4&search_layout=stack&type=item&tracking_id=b68412b8-44ca-4109-aa63-b4bc83da250e,Sonda Lambda Nissan New March 2016 Original,R$139,Sonda Lambda Nissan New March 2016 Original,0,Bosch,,,FAZER
