,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
4433,MLB1934097025,https://produto.mercadolivre.com.br/MLB-1934097025-tampa-do-radiador-fox-2006-2007-2008-_JM#position=43&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Fox 2006 2007 2008,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"FOX Anos: 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,OK
4434,MLB1934097057,https://produto.mercadolivre.com.br/MLB-1934097057-tampa-do-radiador-kombi-2013-2014-2015-_JM#position=44&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Kombi 2013 2014 2015,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"KOMBI Anos: 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007...",LC126233,OK
4435,MLB1934097062,https://produto.mercadolivre.com.br/MLB-1934097062-tampa-do-radiador-spacefox-2006-2007-2008-_JM#position=45&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Spacefox 2006 2007 2008,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"SPACEFOX Anos: 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,OK
4436,MLB1934097085,https://produto.mercadolivre.com.br/MLB-1934097085-tampa-do-radiador-crossfox-2006-2007-2008-_JM#position=46&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Crossfox 2006 2007 2008,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"CROSSFOX Anos: 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,OK
4437,MLB1934097092,https://produto.mercadolivre.com.br/MLB-1934097092-tampa-do-radiador-crossfox-2009-2010-2011-_JM#position=47&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Crossfox 2009 2010 2011,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"CROSSFOX Anos: 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,OK
4438,MLB1934097105,https://produto.mercadolivre.com.br/MLB-1934097105-tampa-do-radiador-crossfox-2015-_JM#position=48&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Crossfox 2015,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"CROSSFOX Anos: 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,OK
4439,MLB1934097110,https://produto.mercadolivre.com.br/MLB-1934097110-tampa-do-radiador-volkswagen-up-2014-2015-2016-_JM#position=49&search_layout=stack&type=item&tracking_id=7dc641a1-c2d1-47c2-b564-51efcf2c1da7,Tampa Do Radiador Volkswagen-up 2014 2015 2016,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"UP Anos: 2016, 2015, 2014...",LC126233,FAZER
4440,MLB1934101072,https://produto.mercadolivre.com.br/MLB-1934101072-tampa-do-radiador-spacefox-2012-2013-2014-_JM#position=48&search_layout=stack&type=item&tracking_id=b3d14d06-33f4-4738-aa6a-c433656d432a,Tampa Do Radiador Spacefox 2012 2013 2014,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"SPACEFOX Anos: 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,FAZER
4441,MLB1934101081,https://produto.mercadolivre.com.br/MLB-1934101081-tampa-do-radiador-spacefox-2015-2016-_JM#position=49&search_layout=stack&type=item&tracking_id=b3d14d06-33f4-4738-aa6a-c433656d432a,Tampa Do Radiador Spacefox 2015 2016,"R$37,52",Ver os meios de pagamento,0.0,Volkswagen,"SPACEFOX Anos: 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006...",LC126233,FAZER
4442,MLB2069803453,https://produto.mercadolivre.com.br/MLB-2069803453-tampa-reservatorio-agua-radiador-gol-saveiro-santana-vw-_JM#position=13&search_layout=stack&type=item&tracking_id=fa2db58a-4a81-47a2-806f-d0c45c4ec3e7,Tampa Reservatorio Agua Radiador Gol Saveiro Santana Vw,"R$38,92",Ver os meios de pagamento,0.0,Volkswagen,Não tem,377121321A,FAZER
4443,MLB1473339252,https://produto.mercadolivre.com.br/MLB-1473339252-caixa-superior-radiador-gol-bola-g2-g3-g4-sem-ar-castelo-_JM#position=23&search_layout=stack&type=item&tracking_id=169306f7-782d-494a-8c3e-600523bf3cbc,"Caixa Superior Radiador Gol Bola G2, G3, G4 Sem Ar - Castelo","R$39,47",Ver os meios de pagamento,0.0,Volkswagen,Não tem,VW1035-10,FAZER
4444,MLB2062852796,https://produto.mercadolivre.com.br/MLB-2062852796-tampa-reservatorio-dagua-jetta-polo-fox-amarok-gol-voyage-_JM#position=30&search_layout=stack&type=item&tracking_id=169306f7-782d-494a-8c3e-600523bf3cbc,Tampa Reservatório D'água Jetta Polo Fox Amarok Gol Voyage,R$40,Ver os meios de pagamento,0.0,Volkswagen,Não tem,380 121 321,FAZER
