,preco,cidade,status
8992,2,Paraíba,FAZER
8993,3,Paraíba,FAZER
8994,4,Paraíba,FAZER
8995,5,Paraíba,FAZER
8996,6,Paraíba,FAZER
8997,7,Paraíba,FAZER
8998,8,Paraíba,FAZER
8999,9,Paraíba,FAZER
9000,10,Paraíba,FAZER
9001,11,Paraíba,FAZER
9002,12,Paraíba,FAZER
9003,13,Paraíba,FAZER
9004,14,Paraíba,FAZER
9005,15,Paraíba,FAZER
9006,16,Paraíba,FAZER
9007,17,Paraíba,FAZER
9008,18,Paraíba,FAZER
9009,19,Paraíba,FAZER
9010,20,Paraíba,FAZER
9011,21,Paraíba,FAZER
9012,22,Paraíba,FAZER
9013,23,Paraíba,FAZER
9014,24,Paraíba,FAZER
9015,25,Paraíba,FAZER
9016,26,Paraíba,FAZER
9017,27,Paraíba,FAZER
9018,28,Paraíba,FAZER
9019,29,Paraíba,FAZER
9020,30,Paraíba,FAZER
9021,31,Paraíba,FAZER
9022,32,Paraíba,FAZER
9023,33,Paraíba,FAZER
9024,34,Paraíba,FAZER
9025,35,Paraíba,FAZER
9026,36,Paraíba,FAZER
9027,37,Paraíba,FAZER
9028,38,Paraíba,FAZER
9029,39,Paraíba,FAZER
9030,40,Paraíba,FAZER
9031,41,Paraíba,FAZER
9032,42,Paraíba,FAZER
9033,43,Paraíba,FAZER
9034,44,Paraíba,FAZER
9035,45,Paraíba,FAZER
9036,46,Paraíba,FAZER
9037,47,Paraíba,FAZER
9038,48,Paraíba,FAZER
9039,49,Paraíba,FAZER
9040,50,Paraíba,FAZER
9041,51,Paraíba,FAZER
9042,52,Paraíba,FAZER
9043,53,Paraíba,FAZER
9044,54,Paraíba,FAZER
9045,55,Paraíba,FAZER
9046,56,Paraíba,FAZER
9047,57,Paraíba,FAZER
9048,58,Paraíba,FAZER
9049,59,Paraíba,FAZER
9050,60,Paraíba,FAZER
9051,61,Paraíba,FAZER
9052,62,Paraíba,FAZER
9053,63,Paraíba,FAZER
9054,64,Paraíba,FAZER
9055,65,Paraíba,FAZER
9056,66,Paraíba,FAZER
9057,67,Paraíba,FAZER
9058,68,Paraíba,FAZER
9059,69,Paraíba,FAZER
9060,70,Paraíba,FAZER
9061,71,Paraíba,FAZER
9062,72,Paraíba,FAZER
9063,73,Paraíba,FAZER
9064,74,Paraíba,FAZER
9065,75,Paraíba,FAZER
9066,76,Paraíba,FAZER
9067,77,Paraíba,FAZER
9068,78,Paraíba,FAZER
9069,79,Paraíba,FAZER
9070,80,Paraíba,FAZER
9071,81,Paraíba,FAZER
9072,82,Paraíba,FAZER
9073,83,Paraíba,FAZER
9074,84,Paraíba,FAZER
9075,85,Paraíba,FAZER
9076,86,Paraíba,FAZER
9077,87,Paraíba,FAZER
9078,88,Paraíba,FAZER
9079,89,Paraíba,FAZER
9080,90,Paraíba,FAZER
9081,91,Paraíba,FAZER
9082,92,Paraíba,FAZER
9083,93,Paraíba,FAZER
9084,94,Paraíba,FAZER
9085,95,Paraíba,FAZER
9086,96,Paraíba,FAZER
9087,97,Paraíba,FAZER
9088,98,Paraíba,FAZER
9089,99,Paraíba,FAZER
9090,100,Paraíba,FAZER
9091,101,Paraíba,FAZER
9092,102,Paraíba,FAZER
9093,103,Paraíba,FAZER
9094,104,Paraíba,FAZER
9095,105,Paraíba,FAZER
9096,106,Paraíba,FAZER
9097,107,Paraíba,FAZER
9098,108,Paraíba,FAZER
9099,109,Paraíba,FAZER
9100,110,Paraíba,FAZER
9101,111,Paraíba,FAZER
9102,112,Paraíba,FAZER
9103,113,Paraíba,FAZER
9104,114,Paraíba,FAZER
9105,115,Paraíba,FAZER
9106,116,Paraíba,FAZER
9107,117,Paraíba,FAZER
9108,118,Paraíba,FAZER
9109,119,Paraíba,FAZER
9110,120,Paraíba,FAZER
9111,121,Paraíba,FAZER
9112,122,Paraíba,FAZER
9113,123,Paraíba,FAZER
9114,124,Paraíba,FAZER
9115,125,Paraíba,FAZER
9116,126,Paraíba,FAZER
9117,127,Paraíba,FAZER
9118,128,Paraíba,FAZER
9119,129,Paraíba,FAZER
9120,130,Paraíba,FAZER
9121,131,Paraíba,FAZER
9122,132,Paraíba,FAZER
9123,133,Paraíba,FAZER
9124,134,Paraíba,FAZER
9125,135,Paraíba,FAZER
9126,136,Paraíba,FAZER
9127,137,Paraíba,FAZER
9128,138,Paraíba,FAZER
9129,139,Paraíba,FAZER
9130,140,Paraíba,FAZER
9131,141,Paraíba,FAZER
9132,142,Paraíba,FAZER
9133,143,Paraíba,FAZER
9134,144,Paraíba,FAZER
9135,145,Paraíba,FAZER
9136,146,Paraíba,FAZER
9137,147,Paraíba,FAZER
9138,148,Paraíba,FAZER
9139,149,Paraíba,FAZER
9140,150,Paraíba,FAZER
9141,151,Paraíba,FAZER
9142,152,Paraíba,FAZER
9143,153,Paraíba,FAZER
9144,154,Paraíba,FAZER
9145,155,Paraíba,FAZER
9146,156,Paraíba,FAZER
9147,157,Paraíba,FAZER
9148,158,Paraíba,FAZER
9149,159,Paraíba,FAZER
9150,160,Paraíba,FAZER
9151,161,Paraíba,FAZER
9152,162,Paraíba,FAZER
9153,163,Paraíba,FAZER
9154,164,Paraíba,FAZER
9155,165,Paraíba,FAZER
9156,166,Paraíba,FAZER
9157,167,Paraíba,FAZER
