,preco,marca,status
1899,901,Ceará,FAZER
1900,902,Ceará,FAZER
1901,903,Ceará,FAZER
1902,904,Ceará,FAZER
1903,905,Ceará,FAZER
1904,906,Ceará,FAZER
1905,907,Ceará,FAZER
1906,908,Ceará,FAZER
1907,909,Ceará,FAZER
1908,910,Ceará,FAZER
1909,911,Ceará,FAZER
1910,912,Ceará,FAZER
1911,913,Ceará,FAZER
1912,914,Ceará,FAZER
1913,915,Ceará,FAZER
1914,916,Ceará,FAZER
1915,917,Ceará,FAZER
1916,918,Ceará,FAZER
1917,919,Ceará,FAZER
1918,920,Ceará,FAZER
1919,921,Ceará,FAZER
1920,922,Ceará,FAZER
1921,923,Ceará,FAZER
1922,924,Ceará,FAZER
1923,925,Ceará,FAZER
1924,926,Ceará,FAZER
1925,927,Ceará,FAZER
1926,928,Ceará,FAZER
1927,929,Ceará,FAZER
1928,930,Ceará,FAZER
1929,931,Ceará,FAZER
1930,932,Ceará,FAZER
1931,933,Ceará,FAZER
1932,934,Ceará,FAZER
1933,935,Ceará,FAZER
1934,936,Ceará,FAZER
1935,937,Ceará,FAZER
1936,938,Ceará,FAZER
1937,939,Ceará,FAZER
1938,940,Ceará,FAZER
1939,941,Ceará,FAZER
1940,942,Ceará,FAZER
1941,943,Ceará,FAZER
1942,944,Ceará,FAZER
1943,945,Ceará,FAZER
1944,946,Ceará,FAZER
1945,947,Ceará,FAZER
1946,948,Ceará,FAZER
1947,949,Ceará,FAZER
1948,950,Ceará,FAZER
1949,951,Ceará,FAZER
1950,952,Ceará,FAZER
1951,953,Ceará,FAZER
1952,954,Ceará,FAZER
1953,955,Ceará,FAZER
1954,956,Ceará,FAZER
1955,957,Ceará,FAZER
1956,958,Ceará,FAZER
1957,959,Ceará,FAZER
1958,960,Ceará,FAZER
1959,961,Ceará,FAZER
1960,962,Ceará,FAZER
1961,963,Ceará,FAZER
1962,964,Ceará,FAZER
1963,965,Ceará,FAZER
1964,966,Ceará,FAZER
1965,967,Ceará,FAZER
1966,968,Ceará,FAZER
1967,969,Ceará,FAZER
1968,970,Ceará,FAZER
1969,971,Ceará,FAZER
