Unnamed: 0,preco,cidade,status
2997,1,Espírito Santo,OK
2998,2,Espírito Santo,OK
2999,3,Espírito Santo,OK
3000,4,Espírito Santo,OK
3001,5,Espírito Santo,OK
3002,6,Espírito Santo,OK
3003,7,Espírito Santo,OK
3004,8,Espírito Santo,OK
3005,9,Espírito Santo,OK
3006,10,Espírito Santo,OK
3007,11,Espírito Santo,OK
3008,12,Espírito Santo,OK
3009,13,Espírito Santo,OK
3010,14,Espírito Santo,OK
3011,15,Espírito Santo,OK
3012,16,Espírito Santo,FAZER
3013,17,Espírito Santo,FAZER
3014,18,Espírito Santo,FAZER
3015,19,Espírito Santo,FAZER
3016,20,Espírito Santo,FAZER
3017,21,Espírito Santo,FAZER
3018,22,Espírito Santo,FAZER
3019,23,Espírito Santo,FAZER
3020,24,Espírito Santo,FAZER
3021,25,Espírito Santo,FAZER
3022,26,Espírito Santo,FAZER
3023,27,Espírito Santo,FAZER
3024,28,Espírito Santo,FAZER
3025,29,Espírito Santo,FAZER
3026,30,Espírito Santo,FAZER
3027,31,Espírito Santo,FAZER
3028,32,Espírito Santo,FAZER
3029,33,Espírito Santo,FAZER
3030,34,Espírito Santo,FAZER
3031,35,Espírito Santo,FAZER
3032,36,Espírito Santo,FAZER
3033,37,Espírito Santo,FAZER
3034,38,Espírito Santo,FAZER
3035,39,Espírito Santo,FAZER
3036,40,Espírito Santo,FAZER
3037,41,Espírito Santo,FAZER
3038,42,Espírito Santo,FAZER
3039,43,Espírito Santo,FAZER
3040,44,Espírito Santo,FAZER
3041,45,Espírito Santo,FAZER
3042,46,Espírito Santo,FAZER
3043,47,Espírito Santo,FAZER
3044,48,Espírito Santo,FAZER
3045,49,Espírito Santo,FAZER
3046,50,Espírito Santo,FAZER
3047,51,Espírito Santo,FAZER
3048,52,Espírito Santo,FAZER
3049,53,Espírito Santo,FAZER
3050,54,Espírito Santo,FAZER
3051,55,Espírito Santo,FAZER
3052,56,Espírito Santo,FAZER
3053,57,Espírito Santo,FAZER
3054,58,Espírito Santo,FAZER
3055,59,Espírito Santo,FAZER
3056,60,Espírito Santo,FAZER
3057,61,Espírito Santo,FAZER
3058,62,Espírito Santo,FAZER
3059,63,Espírito Santo,FAZER
3060,64,Espírito Santo,FAZER
3061,65,Espírito Santo,FAZER
3062,66,Espírito Santo,FAZER
3063,67,Espírito Santo,FAZER
3064,68,Espírito Santo,FAZER
3065,69,Espírito Santo,FAZER
3066,70,Espírito Santo,FAZER
3067,71,Espírito Santo,FAZER
3068,72,Espírito Santo,FAZER
3069,73,Espírito Santo,FAZER
