,urls
0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5SsD13VRX7b7n%2FR%2FnkTZJXU0uwB5i6FliLOVRRwEeZUYwcp%2FwuSRB4VTbhDvZKBK%2FdFa2ln8QELfBaahHvkTJOfpUAi8A9zyUx3FqFlKFPqhzdxlm1e8rtVXmFwsBITqANRf%2Fw%2FTq8CTZAHuDgSj3JymPhJSoD3NidbNl6e82XkNJY0nUwfR2LWlmbdIeoXzmhiDjruhGKFpENY%2FIZUEKJWqYueBkN1CuVvuVvKxrsTZPOf9%2BBdd0eCRQgC%2F2u6p%2BdA8VtzEDeafTp8NhtgdGBm1gLDoV0js%2Fc4pUUE6eO5oWO7jS1%2BllyXjj0OrjU8p1nWMBV0aQcUniqRneVIgIC%2B10XerbcY%2B7aFLQTFPFzD9BLnuOAV7nSqa%2FcwAQs1Ng08xwEq5RJ2UPof%2BVDknWPZa1DQizemQhknNtTsbSQIZ38MhxFP799ryoi0fwDvW5%2BZD4glS2mrLF0r7dvV1nJc7dP0raRLA59xV28%2FT9B7750gKazZ43S3b2YomUMD7sMBSsdYcDDdBo5XsvYTogrpDo46sADjSK7Myfg%2BTHxo7RC4jaEbvLumUfATzGtoc2UW3HKDJ3489vYzUbO9P6EDyMWi8Zq5uuYFWOWrItOFAwwMXTQc%2Fbr2LQR9zGXlAdzu8zrxUwfJfFJJ7Nc0Eti8ynuYVPnUJmsdOK9Tkr1mH6ssLn92xIce8m5zbcCpFXR58sDnMrN4ZYa%2FOkU6P9yJ5%2BNUdy81g%2F5HbKBQoreO0LQpfNA0G%2F6hGNtGXdpvoXiKImVZ8pKCQZG0%2FMIpbCU8YwafzFgQ3bJPqEaIE%2F0vTUPchDQXUkwT9Mba1izW5%2FtYudQzyfVeRvQojzzLEdiN4HNJ9U2tf%2BfACCbX3yrw%2FySX20lDzEweNZTkrv0IYpgPifY9gf0mRrJiJbJDV7Tl60R9UJudh9LOk3EkW%2FumwkrWbzB9pbA6eUOirHggykTZydY92%2BobAiq4qG%2Fx2uryqyazt95Z09Myj0RLecUV%2FFCmOctjJ8n2Jr4Uh%2B6FgEXCYVPfKUgCkGpje0WV4NGdmHionKT1JdjCEoroClGw0Skka62J1nUx%2FpsaxWAge%2B2ZZrs734wNHhV7y%2BLHxjZUeHHk4zcHVfVOynQBQ4UMZE2CBxj6b8oeYHLQYrGTmqfvLybKbk3PR4ukHshD0gCj3JF5MFeXmLB%2BzqpZAsPnyq87b1191LEgyFJsKlkesL%2FFwsHxyREs5YYB%2BMx5DyeETdNhAfZpy8ABWRg0u1QMWM3MS3fO1IjFgd7grdUPo%2F4TOtpHivheSSMRPt4M2SwkH19ney6kailrqmulQ0Ljxa0EznPBmBY2Zf4tXHrX5box3Hj3nt9iYL3yVNaFrz2oibXcHsYykDfIFNOzXEbb6CXoDyBeqxo34HpXloMXLru0XxkmpJlFKKc7XuReb2fx%2FThW9jE0h13iMSXRUalxRyENb5k3GyDGmBE5RpyIseps%2B4EebEKz6gTrdVmj7rf9pQVzyfr45f1XWEKx%2BvyJpub79KrH2HKzqbbanJR2%2Bw5xzFzQFvuqpI4HfjzuDywx2XjZbLLyWKqUGn5BUFSAGl7vUyjnwr%2FG3y308GKTmJOXUHPMmyIHIRX5PlVixjp7KLJpCpp2RGwB%2FVRfvBbKXcg%2FiXBRfGPTgOhgrdtv1ia3Farcno%2B8eBeqnTbY51Ic%2FFD%2Fnv%2Bl2wYDlRuJVV6d2C0iC7oBCcFCckqePYaBonkNkrGQ%2BAUowcBI4Mp%2BJ07p9QJfXJ%2FZbRPulo%2BbSXXFd5cEovuOXVE%2FUkOrQCVM2WhCI3DFV%2FhfsXFFWsClB6lnpmGjXdYh%2Fb272S5n6kCZIRMiEBm8Cd6YfaDoHDxXHDxW4lbNAyduUK1UyGjRXoK6%2Bt%2FahIFni%2FpMA1J0NtmfnBCPRo%2FZzVkLq7BhlHCIrH6p2fms0pQSVjAtH%2BeYHd4lEqAx1NT5sD2vHPWA26AfczRPsSNCAjdv2CGFOZaaCw1ThC45qImcqlSKJ9gzCncez9bCSh2lkHpDZYjoHD7%2B%2B9%2BKzix6E72B5mpdpg0tDWOHmLN054yv014BuCMoFpungAsOGonGxkSKbdorlyQS0TKYzL6PryTj6dI3mb7MEEk5O76xEu9QwZajWNYboGJ6SdbdTE8N3xi0Kjw43nbWr7FjVgR5VCFYSHAtqQwUBIEXgDxSxGA%3D%3D
1,https://produto.mercadolivre.com.br/MLB-1695656487-4-pecas-bico-injetor-palio-siena-uno-10-fire-10-8v-iwp065-_JM#position=2&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
2,https://produto.mercadolivre.com.br/MLB-1895498832-kit-4-bico-injetor-fiat-palio-10-13-15-96-97-98-99-iwp065-_JM#position=3&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
3,https://produto.mercadolivre.com.br/MLB-1860476604-iwp176-kit-4-bico-injetor-fox-gol-g4-g5-voyage-10-16-flex-_JM#position=4&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
4,https://produto.mercadolivre.com.br/MLB-1812880994-kit-4-bico-injetor-gol-saveiro-parati-16-8v-flex-iwp115-_JM#position=5&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
5,https://produto.mercadolivre.com.br/MLB-1812876585-kit-4-bicos-injetor-renault-scenic-16-16v-clio-16-iwp143-_JM#position=6&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
6,https://produto.mercadolivre.com.br/MLB-1931972340-bico-injetor-monza-ipanema-kadett-efi-18-20-alcool-novo-_JM#position=7&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
7,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=8AUEk63wbKVReChi2w7SIePDx39%2Fte%2Bvaul7pQZX0tNlRhRPCWz9%2F8H%2F0EAg274ipLBcSZqzvT5wYIdioiwR1EbscvKwv8vMHX%2Bz8R9NvayeHC8W%2FpWK95HNC7OjveL%2BvF0degYwFTG7pmxzsGz3bpzq4iUjzMepQPnx%2F017KWas2pige7i9oEB2f%2FtiX153iwRDAaYYjiYCGGVnO3DAODHqMMXScKfGLsXsHfy1o56uTJSbZuZK2JkCZO2b0w0T1F%2FtD%2BP%2FE6DCl9%2Fv5WcFsrMG4%2B2NJAvFp4GuZwo4CvQc6xoFcQKcRZKud9DlMlNp3YnkbGcKzxWkxBLXioCUwISiXLiZaRr1VlSglK5xCSEo%2BGo44FsOiKs7CU6yDh4N6XQtDQlg5RsftaSw6lRPPZE4JOVKbFtzfzmv9Ydz3jpNXSTTaq9ADnPePWpRCrR45G9P7irVflFkhD%2FWfe70Yzykw1oB%2BEMmuLQEFenyHqG%2BOtcYEUiDlhCNyCfKKFMGRb%2FIy69HwogUNBFzzvYuokwk0Z2iYcIboIvpZ709T7Uga7u9WmT6C0cTM70kWM3rkZN%2BBdV1IhT6om3t0BSIMFSQpnK0Pk2uR6DHt7hnUjRTShjGUiHrVwgMYS0Ms71WPKG%2Fv7g8oz%2B33gUajEim7w38FOGbrJVvlVLs70pucMht583u1KBkietoCBHv1wmMqkbVLMUDsI6UcHDs6dBJz0qigtLvywdFX%2BEOGfrN9a5fJzxBPbAQoDLp%2B9brKz5ESop%2BOAoBbfbvYlDAXpvjIMlbpo3mfbrFtlKCdDSfTPwBcU4oubBQJLwcFBhkUza4gVHxKa7tDbz3bsAKJiwMMM9r37QgjynMwW%2BYpDrtinsPL6CLQ8z6073KdClg%2BPzw05%2FD8TIBaD%2FOMsbJMXIDsQHSMGwwAIr8HIP%2FLuh0%2FNpt6cvVS9nLnVIKDJChRdTPdsTr%2FdX9uMSgT56t9cO6K8rZ7L1erEmE18fhzHWx%2B9IRVJWCWj8rzdUJ4J%2FstBjmKlH87D8YcsDYtM4wof3VAoGWdm3k%2FqUBzqsmgdc44mDsbnqlJUzSmPoVXT0qDy0nVN92aMgoBZ0baJMWkCUBQQTskmTn9xoLmHPgfW1yU1iEJGc5INmd8zJqZAH9xGI%2FQy9i7AeVjq2gEfqhQfkOx%2BiyjR%2BmevjxsXowdRKFCS%2F1GlTRmbpkaXFgLPJ8dZoH9HKnGJEF0NQDySU0Q6mxlgo8KFy%2F0IS9vgAZ8CdNKA1jxj%2F%2FHrmjUEvJIwT3PMq3nvLyZYTlRT0QlP6eyBAo8Hi4H8QWAUOk8Em1nndvDjYp%2F%2Fsih%2BOT28Xd8RSVWSY4iw8isIPGuIcRwqcory%2FE4v17eMKtoJzOv%2BVfEiJXA%2FaMY12ZU6KCJAsMbWteJh%2BRavWbwGPrHKTgs2mvv9TwLb%2BmizCMtMihsI1t3qvdEacQrY6XIB6y6ybO%2B3P1348UCbFmmUYFrEPXYL4QoQA0yrWLY1HJeSaUcTGvAHQHa0AyDLyUDe%2FsrcAwWBKrR9afTp6uexIe0xdMO4S3i8IgkwQMFV6dNFoTr7zTCGsVzq%2FP9a9Nx%2FHqGUIOG%2BWMm%2FpupNcnJJeLLrHDBNeH9thgAr5Yj5Qy9DRVC4rn8Iepw1QmEv8bSBQZW7CfAe38lQh1nLzEqukjNNGRZFj6L%2FaDX2f0kexiCsQde%2BZhKxH36YFB1jIWJfTw1T5SW1JER9DTHLYs%2B6OSi1csb0nKPUhBekEGr17UO8fB%2FMasyGBk8AsAW7N%2Fe4B%2BAL1dd1%2BuMf8GlFipcFXx8nHKzx0%2B%2B6EG7vC9ybTz3tVPPmNy4vj6SVbuw8HN82o7Grotgj%2BYz532cTQT6HATlfRU%2F3g2aXhKtE%2BGbpGNVSG0pv%2B9GnYdAAjAMOFcQ864d6akuPl1owcuZZtLH%2FUs7pzkVgtsL9kkSokAMpytK%2FKWN%2BYS9hMrIxNWOtFKgCj0KdD6QU8%2Fw6XVMNxYTCW88Pgguivu2hle%2Fc3DdWaCqJls6P6VmM98mQ3DGO7XC%2FZ0h3vvh3unDuH9s3VLGCSP0A5zVhe7KeaFG9W3vH8s54gBrq12RfKr8S688aB4W2FEq%2BRUlrFikgbnMEPm%2BNJGKV3UZwGmTXlx8QoAL4C27wnt026dkNPZRn30c8X3heJGYjbtZWPUm%2FgAv0ude0Zp%2B2hVpUn%2FZ6K6%2BJ5mPk5eQw%3D%3D
8,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XUZxZV4LflzwZvk1Rigs9RbZndW3zkFPuarS9QzFCLDhhqWxGFWVh6RDy3L%2Bkqm%2BK3aU%2BT4Kqn6UKTrdG5OgQTdGSQZrPt9PIyMXQGd05yaSArrc6aY89SCat3zgFXs7376G8Dw%2BoIJ5tVYiOCgjrpdzOUKK3ZSeQlRJfThZA32ujQw5oRWmNyZFxlB0ChvnppeP9%2BUL2fmEgDIKACbSkZtKdGhjEaEaRMhZzbQzkS4M2DU6zsHxJ5k5vDjv7JfvjqmeLzsXJSpCYnEyaNwYxVSRHRlFK8HqDYU2JjOcxidecWyaUR8bWSCxOa%2B%2BySYJtF6jVNpIXvP4qrsQbC6FeYXN06pjzWF%2FUk3%2B0pTznRwcHPXMwcqqQUc%2B0dT9Gioqwy36DXQUmp%2Fw%2BmYLnd0l7oQioSDlPXxyWJNeh6AJ%2BiAYgVUBA3RtWQ%2Bzp3%2BoRkbSbvz1ozLx9HmKsH5zrjk6oZs3FwEjU5e%2FKLiuk0HaK9axbpuN3IY0u6FPiFb%2BoxQZnrfkztuEtmfJZLi2mMyJKYEQbmenP16tLRF0wIRor%2F9dQJhPMVXpJzbDTDKQXDTp1B3AbWVqctvy5No3bPBo%2Bxt2rgSh4lhF0q1yEDM6YZh2hvRvdrA3NPboHSBcmvHwHBNBJyKpT%2Braj%2F3eZr14DByBPfk9OmwI51hsju2wPQubRCziBzllYMq5me6dRu7cScK%2BEAXDcUpzoYE01IFwQLMPoYrNE%2B%2BDrY20LDzxEwK%2FW4Bl1Nf6TU5V0BoUfE1kjq2AupAs5p%2FhCFaT7jiimMMB6paPW35imShyVeieIib8BkDjcB7vrOdBt4pmd8gLu%2BTQNPqPlA2H3JP0JxTuNPIvD5k0PJistAV5SBPYJzAfsOGs2T8lvas%2BcLH%2FY8Z%2BJera1ev4FIbdyNaiXszM09M7SeISQu3HcvDRAAUBsKMaiBoBsWR1R10Z3yry4MNFWH%2B%2BWAMJ5p5Y38dLRBDrShkXDFRCAx5x6hnEQrXbjh0voVkBEghXnC%2BwrimMOdvOckSLylrFkcJ3ywJRPFQ1h6%2F0bkecYwMBIQGvh5rAmsweGVx68lp9h8xjmd%2Brm7bSMvwJ8asi8a%2FuANDIh6swIIfnztyvpbbYR5G8UF3qHPiVnE54xWy2VClLfm3p9fgzNxz60dmMVfcUVlQBQrC%2Fi5L5jWVaYW3m23jwRKIeua4B8t3ZlVaGWm67WH72PDaxOJhN8m3BSIu%2FbSQMoIoq4LcuA%2F2uc1wIn2pAF6USlCV5q4C1gnZEUN%2FSusVTrbuDCCCnpLx4XlAI0YJzPJhnkm%2FUYrJBsoZRFbkyz1fBXaB62e9Oubue6p%2Bk9oUoEJXuHKPUCUOYHMPYDF%2FkplhW7LOwmtRbtpkuOMksbbEZDjHKGRF5EHrkFDsr94swo7RhhVVPz5Kd31CmWoU3%2FRbStGtm1GPqU7AVENi2%2FV6udkYGPbRqFJ7P4vb1mVDkRcE%2B8dAsp%2FR%2FEF2uPrUSW2SbVgAbEODcDP%2BmoRpVYcJQlKWSuBezd6SxHavuACKRzkt0zzJXx7%2FKY89bOWEZKbIamnzRvApuGz%2B6a7rjpxclL1bMczGYk%2BS6JXDZmO8dLMJJcP4e02nxu27G5%2F6XiF%2B28TA053LOa3B5euqkDB5r4W3qn%2FqmKwq93ndMMhcd5ea%2FLKvAy7mZ3KtAAVUp%2BLI%2B03bz3t6LHT1RACAnoyBMzk7m%2BLI52fA%2B9%2B6%2BK14K53nphiVi5C8LZgzjVIjJbxLPYH2vSEXxckP0pCqm6EaEfzRRM2SCF%2FAVs%2FHQ2Ii%2FJGENVZOt3VLrtl3GicssYhaQpePhqP%2BpxRWfALazTs968Em5ycz2YK5KH9n3Iu%2BQXpaADwibLTQ8N%2FN5SIAOWyLJiQ1RG54iZ2FcEvDqTNJ0qbRyh2cJhRJt8QyNDrqQ%2B%2Fn3rKqF3HMuzezR8O3YSNDQv7wM8MbRSSrTJmuay1JeoxnCcyn9DUPU94q5NhW1J21f141j29uq9NwGErc3MQvrhCmt3Z%2FKeYyvPpVyp2vI4Augg5otfTxSKyCV8NbK0H8BL3ysWR%2FKwDM1wHwMeB3iZMYSM4EYBEL%2B2rZHw76nBNgVOFFH2vgF8sooFgw%2BCvOrja5nAz%2FDdNv%2Bu1FyDL3eFvuXMy2wNU3IWD%2FTtDaDGjqql4XV3ZndwyMfsUrMn3HzAMG8U3DDOmrCk%2FMjILx53LWfYHSEug%3D%3D
9,https://produto.mercadolivre.com.br/MLB-1786298357-descarbonizante-car-80-original-kit-com-6-unidades-300ml-_JM#position=10&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
10,https://produto.mercadolivre.com.br/MLB-766795270-bico-injetor-ecosport-focus-20-16v-flex-duratec-0280158162-_JM#position=11&search_layout=stack&type=item&tracking_id=13a47614-7741-469a-97c3-d0a615b62273
